,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
0,00817.*A,AIRPORT,DMA,2022-03-24,AWP,PHX,AZ,ARIZONA,PIMA,AZ,TUCSON,DAVIS MONTHAN AFB,MA,PR,USAF,2400 VALLEY BANK BLDG,"PHOENIX, AZ 85083",602-261-4774,BASE OPERATIONS,DAVIS-MONTHAN AFB,"TUCSON, AZ 85707",520-228-4710,032-09-58.9100N,115798.9119N,110-52-59.4100W,0399179.4109W,E,2704.0,E,12E,2000,,PHOENIX,2,SW,400.0,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,PRC,Y,1940-04-01,O,,,NOT ANALYZED,Y,N,,N,,N,,1976-09-09,,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,,,MILITARY,2003-07-10,MILITARY,2003-07-10,,"HGR,TIE","INSTR,RNTL",Y,KDMA,,,32.16636441666667,-110.88316969444446
1,01661.01*A,AIRPORT,AHC,2022-03-24,AWP,SFO,CA,CALIFORNIA,LASSEN,CA,HERLONG,AMEDEE AAF,MR,PR,US ARMY AERONAUTICAL SVCS AGENCY,,"FT BELVOIR, VA 22060",,DAN DONOVAN,,,530-827-4147,040-15-57.3100N,144957.3052N,120-09-02.2100W,0432542.2079W,E,4011.6,E,13E,2020,,KLAMATH FALLS,9,N,,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RNO,RENO,,1-800-WX-BRIEF,,,,RNO,Y,,O,,,,N,N,,N,,N,,1977-02-14,,,,,,,,N,,126.2,N,,,,,,,,,,,,,,,,,,MILITARY,2008-05-31,MILITARY,2008-05-31,,,,,KAHC,,,40.26591811111111,-120.15061330555555
2,01530.*A,AIRPORT,NJK,2022-03-24,AWP,LAX,CA,CALIFORNIA,IMPERIAL,CA,EL CENTRO,EL CENTRO NAF (VRACIU FLD),MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,,,,,032-49-35.8800N,118175.8800N,115-40-06.8200W,0416406.8200W,E,-42.0,E,11E,2015,,PHOENIX,6,NW,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,NJK,Y,1973-02-01,O,,,,,,,N,,N,,1975-12-04,,,,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2020-03-03,MILITARY,2020-03-03,,,,,KNJK,,,32.82663333333334,-115.66856111111112
3,01683.5*A,AIRPORT,NRS,2022-03-24,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,IMPERIAL BEACH,IMPERIAL BEACH NOLF (REAM FLD),MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,,,,,032-33-58.1600N,117238.1638N,117-06-48.6800W,0421608.6837W,E,23.6,S,11E,2020,,LOS ANGELES,1,S,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SAN,Y,1944-02-01,O,,,,,,,N,,N,,1975-12-04,,,,,,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,DOD (NGA),2013-05-10,DOD (NGA),2013-05-10,,,,,KNRS,,,32.566156611111104,-117.11352324999999
4,01796.*A,AIRPORT,SLI,2022-03-24,AWP,LAX,CA,CALIFORNIA,ORANGE,CA,LOS ALAMITOS,LOS ALAMITOS AAF,MR,PR,US ARMY,"AASF, CAARNG, 4612 DOOLITTLE AVE","LOS ALAMITOS, CA 90720",562-795-2571,BASE OPS,,"LOS ALAMITOS, CA 90720",562-795-1351,033-47-24.1100N,121644.1080N,118-03-05.1100W,0424985.1120W,E,35.5,S,12E,2020,,LOS ANGELES,1,SE,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,SLI,Y,1944-04-01,O,,,,,,,N,,N,,1975-12-04,A1+ J8,,,,,SS-SR,SS-SR,Y,,123.85,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2010-12-03,MILITARY,2010-12-03,,,,,KSLI,,,33.790029999999994,-118.05142000000001
5,02177.*A,AIRPORT,NKX,2022-03-24,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,MIRAMAR MCAS (JOE FOSS FLD),MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,MARINE CORPS AIR STATION MIRAMAR,"SAN DIEGO, CA 92145",,032-52-06.7000N,118326.7043N,117-08-35.4800W,0421715.4782W,E,477.1,S,12E,2015,,LOS ANGELES,3,N,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,NKX,Y,1944-02-01,O,,,,,,,N,,N,,1976-08-13,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,DOD (NGA),2013-04-01,DOD (NGA),2013-04-01,,,,,KNKX,,,32.86852897222222,-117.1431883888889
6,02178.*A,AIRPORT,NZY,2022-03-24,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,NORTH ISLAND NAS/HALSEY FLD,MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,NAVAL AIR STA NORTH ISLAND,"SAN DIEGO, CA 92135",,032-41-53.5100N,117713.5060N,117-12-47.2000W,0421967.1960W,E,25.9,S,11E,2020,,LOS ANGELES,3,SW,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,NZY,Y,1941-05-01,O,,,,,,,N,,N,,1976-08-13,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,DOD (NGA),2011-06-30,DOD (NGA),2011-06-30,,,,,KNZY,,,32.69819611111111,-117.21311
7,02220.*A,AIRPORT,NSI,2022-03-24,AWP,LAX,CA,CALIFORNIA,SANTA CRUZ,CA,SAN NICOLAS ISLAND,SAN NICOLAS ISLAND NOLF,MN,PR,US NAVY,OCEANOGRAPHIC OFC - CODE 3142,"WASHINGTON, DC 20373",,,,,,033-14-23.2200N,119663.2220N,119-27-29.5400W,0430049.5450W,E,506.2,S,12E,2020,,LOS ANGELES,0,E,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,NSI,Y,1941-05-01,O,,,,,,,N,,N,,1975-12-04,,,,,,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2021-08-24,MILITARY,2018-08-16,,,,,KNSI,,,33.23978388888889,-119.45820694444444
8,01565.1*A,AIRPORT,SUU,2022-03-24,AWP,SFO,CA,CALIFORNIA,SOLANO,CA,FAIRFIELD,TRAVIS AFB,MA,PR,USAF,TRAVIS AFB,"FAIRFIELD, CA 94535",,BASE OPERATIONS (USAF),TRAVIS AFB,"FAIRFIELD, CA 94535",707-424-2836,038-15-52.3300N,137752.3320N,121-55-26.8700W,0438926.8733W,E,63.4,S,13E,2020,,SAN FRANCISCO,3,E,,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,SUU,Y,1941-05-01,O,,,NOT ANALYZED,Y,Y,N,N,,N,,1976-09-09,A++,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,,,,,,3.0,,,,,,,,,DOD (NGA),2013-01-17,DOD (NGA),2013-01-17,,HGR,,,KSUU,,,38.264536666666665,-121.92413147222221
9,02517.41*A,AIRPORT,BKF,2022-03-24,ANM,DEN,CO,COLORADO,ARAPAHOE,CO,AURORA,BUCKLEY SPACE FORCE BASE,MA,PR,USAF LICENSED TO COANG,BUCKLEY ANGB,"AURORA, CO 80011",,CHIEF AIRFIELD MANAGEMENT,HQCOANG DET 1/CC BUCKLEY ANGB,"AURORA, CO 80011",720-847-9650,039-42-06.3400N,142926.3400N,104-45-07.0600W,0377107.0600W,E,5663.0,E,08E,2015,,DENVER,0,N,,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,DEN,Y,1944-04-01,O,,,NO OBJECTION,N,N,N,N,,N,,2012-10-09,A++,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,N,,,,,,,6.0,,,,40000.0,70000.0,10000.0,40000.0,,FAA-EST,2011-07-29,MILITARY,2017-03-29,,HGR,CARGO,Y,KBKF,,,39.70176111111111,-104.75196111111111
