,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,DD_Latitudes,DD_Longitudes,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
0,50260.*A,AIRPORT,GAM,3/24/2022,AAL,NONE,AK,ALASKA,NOME,AK,GAMBELL,GAMBELL,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,DARRIN OTTON,BOX 1048,"NOME, AK 99762",907-443-2500,63.76661639,-171.7327839,063-45-59.8200N,229559.8190N,171-43-58.0200W,0618238.0220W,E,29.5,S,08E,2015,,BETHEL,0,SW,200,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,GAM,Y,3/1/1950,O,,NGSY,NO OBJECTION,N,N,N,Y,S,C,8/6/2019,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.7,Y,CG,N,,0,0,0,0,0,0,0,1652,,0,,0,,12/31/2018,3RD PARTY SURVEY,6/25/2019,3RD PARTY SURVEY,6/25/2019,,,CARGO,Y-L,PAGM,,Local
1,50216.*A,AIRPORT,FBK,3/24/2022,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS/FT WAINWRIGHT,LADD AAF,MR,PR,U.S. ARMY,U.S. ARMY FORCES COMMAND,"ATLANTA, GA",,HQ 172 INFANTRY BRIGADE,FT RICHARDSON,ALASKA 99505,907-353-7022,64.83761222,-147.6144919,064-50-15.4000N,233415.4040N,147-36-52.1700W,0531412.1710W,E,448.6,S,17E,2020,,FAIRBANKS,2,E,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,PAFB,Y,5/1/1949,O,,,NO OBJECTION,N,N,N,N,,F,4/15/1979,8/23/1994,,,,,,SEE RMK,SS-SR,Y,,125,Y,CG,,,13,,,,,90,,,,,3000,1000,60000,4/15/1979,FAA,10/5/2020,DOD (NGA),7/31/2015,,HGR,CARGO,Y,PAFB,,
2,50034.*A,AIRPORT,ANC,3/24/2022,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519-6960",907-266-2600,JIM SZCZESNIAK,BOX 196960,"ANCHORAGE, AK 99519-6960",907-266-2600,61.17408472,-149.9981375,061-10-26.7000N,220226.7050N,149-59-53.3000W,0539993.2950W,E,151.4,S,16E,2020,,ANCHORAGE,4,SW,4608,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ANC,Y,11/1/1951,O,I E S 04/2005,NGSY,NO OBJECTION,Y,Y,N,Y,F,F,5/20/2021,,100 100LL A A1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,11,67,16,15,0,0,0,98395,,76301,8998,76206,2061,4/30/2019,3RD PARTY SURVEY,2/3/2019,3RD PARTY SURVEY,4/9/2012,,"HGR,TIE",CARGO,Y-L,PANC,Medium,
3,00103.*A,AIRPORT,0J0,3/24/2022,ASO,JAN,AL,ALABAMA,HENRY,AL,ABBEVILLE,ABBEVILLE MUNI,PU,PU,CITY OF ABBEVILLE,PO BOX 427,"ABBEVILLE, AL 36310",334-585-6444,MELISSA WILSON,"PO BOX 427, 101 E. WASHINGTON ST","ABBEVILLE, AL 36310",334-585-6444,31.60022222,-85.23830833,031-36-00.8000N,113760.8000N,085-14-17.9100W,0306857.9100W,E,463.1,S,01W,1985,,NEW ORLEANS,3,N,36,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,8/1/1959,O,,N,NOT ANALYZED,,,,,S,S,1/18/2019,,,NONE,NONE,,,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,7,0,0,0,1,0,0,,,,,400,1200,1/17/2020,FAA-EST,7/2/2007,NACO,2/20/2002,,TIE,,Y-L,,,Basic
4,00511.*A,AIRPORT,SEM,3/24/2022,ASO,JAN,AL,ALABAMA,DALLAS,AL,SELMA,CRAIG FLD,PU,PU,CRAIG FLD ARPT & IND AUTH,PO BOX 1421,"SELMA, AL 36702",334-874-7419,DUSTIN BECK,"CRAIG FIELD INDUSTRIAL, HANGAR 202, AVENUE J","SELMA, AL 36701",(334) 875-2189,32.34394667,-86.98780556,032-20-38.2100N,116438.2080N,086-59-16.1000W,0313156.1000W,E,166.2,S,03W,2015,,ATLANTA,4,SE,1790,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,2/1/1979,O,,NGPXY,NO OBJECTION,N,N,N,Y,S,S,10/9/2019,,100LL A,MAJOR,MAJOR,,NONE,SEE RMK,SS-SR,N,122.7,122.7,N,CG,N,,10,3,0,0,0,0,0,,,250,2300,32000,4000,8/8/2019,3RD PARTY SURVEY,4/22/2010,3RD PARTY SURVEY,4/22/2010,,"HGR,TIE",INSTR,Y-L,KSEM,,Basic
5,00385.1*A,AIRPORT,HSV,3/24/2022,ASO,JAN,AL,ALABAMA,MADISON,AL,HUNTSVILLE,HUNTSVILLE INTL-CARL T JONES FLD,PU,PU,HUNTSVILLE MADISON COUNTY,"1000 GLENN HEARN BLVD,","HUNTSVILLE, AL 35824",256-772-9395,RICHARD TUCKER,"1000 GLENN HEARN BLVD,, BOX 20008","HUNTSVILLE, AL 35824",256-258-1955,34.63719694,-86.77505417,034-38-13.9100N,124693.9090N,086-46-30.2000W,0312390.1950W,E,628.9,S,04W,2020,,ATLANTA,9,SW,6000,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,HSV,Y,5/1/1964,O,I C S 05/1973,NGY,NO OBJECTION,Y,Y,N,Y,F,F,7/21/2021,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,127.6,Y,CG,N,,64,15,6,0,,,1,10558,,5768,2908,17217,18447,5/31/2021,3RD PARTY SURVEY,3/9/2017,3RD PARTY SURVEY,3/9/2017,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV",Y-L,KHSV,Small,
6,00437.*A,AIRPORT,BFM,3/24/2022,ASO,JAN,AL,ALABAMA,MOBILE,AL,MOBILE,MOBILE DOWNTOWN,PU,PU,MOBILE AIRPORT AUTHORITY,1891-9TH ST/BROOKLEY COMPLEX,"MOBILE, AL 36615",251-438-7334,CHRIS CURRY,P O BOX 88004,"MOBILE, AL 36608",251-639-4680,30.62678056,-88.06809083,030-37-36.4100N,110256.4100N,088-04-05.1300W,0317045.1270W,E,26.2,S,01W,2005,,NEW ORLEANS,3,S,1616,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,BFM,Y,4/1/1940,O,I A S 01/1980,NGPY,NOT ANALYZED,Y,Y,N,Y,F,F,11/16/2021,,100LL A,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.8,Y,CG,N,,16,2,6,1,0,0,0,1626,,1824,3072,6611,30032,10/31/2021,3RD PARTY SURVEY,6/5/2019,3RD PARTY SURVEY,6/5/2019,,"HGR,TIE","CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KBFM,,Regional
7,00780.2*A,AIRPORT,88AZ,3/24/2022,AWP,PHX,AZ,ARIZONA,GILA,AZ,ROOSEVELT,GRAPEVINE AIRSTRIP,PU,PR,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,33.64090833,-111.0569167,033-38-27.2700N,121107.2700N,111-03-24.9000W,0399804.9000W,E,2329,E,11E,2015,,PHOENIX,5,SE,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,,,11/1/2016,O,,,CONDITIONAL,,,,,,N,,4/1/2020,,,,,,,,N,,122.9,Y,,,,,,,,,,,,,,,,,,OWNER,11/15/2016,OWNER,11/15/2016,N,,,Y,,,
8,00753.*A,AIRPORT,IWA,3/24/2022,AWP,PHX,AZ,ARIZONA,MARICOPA,AZ,PHOENIX,PHOENIX-MESA GATEWAY,PU,PU,PHX MESA GATEWAY AIRPORT AUTHORITY,5835 S. SOSSAMAN RD,"MESA, AZ 85212-0919",(480) 988-7570,J. BRIAN O'NEILL,"PHX-MESA GATEWAY AIRPORT AUTHORITY, 5835 S. SOSSAMAN ROAD","MESA, AZ 85212-0919",(480) 988-7708,33.30782389,-111.6554592,033-18-28.1700N,119908.1660N,111-39-19.6500W,0401959.6530W,E,1384.1,S,13E,1980,1218,PHOENIX,20,SE,3020,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,IWA,Y,12/1/1993,O,I C S 03/1999,N,NOT ANALYZED,N,N,N,Y,F,F,12/1/2021,,100LL A,MINOR,,HIGH/LOW,,SEE RMK,SS-SR,Y,,120.6,Y,CG,Y,,66,16,27,21,,,,14098,,44333,158632,51669,4940,10/31/2021,3RD PARTY SURVEY,5/2/2018,3RD PARTY SURVEY,5/2/2018,,"HGR,TIE","AMB,CARGO,CHTR,INSTR,RNTL",Y,KIWA,Small,
9,00682.*A,AIRPORT,FHU,3/24/2022,AWP,PHX,AZ,ARIZONA,COCHISE,AZ,FORT HUACHUCA SIERRA VISTA,SIERRA VISTA MUNI-LIBBY AAF,MR,PU,US ARMY INTELLIGENCE CTR,FORT HUACHUCA,"FORT HUACHUCA, AZ 85613",520-538-2860,SHARON FLISSAR,401 GIULIO CESARE AVE,"SIERRA VISTA, AZ 85635",520-458-5775,31.58847222,-110.3443889,031-35-18.5000N,113718.5000N,110-20-39.8000W,0397239.8000W,E,4719.1,S,10E,2015,,PHOENIX,3,N,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,FHU,Y,11/1/1972,O,,NGSY,CONDITIONAL,N,N,Y,N,F,F,2/25/2014,,100 A,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,122.95,124.95,N,CG,N,,35,3,0,1,1,0,0,5013,,,6887,10905,96469,10/31/2013,NGS,6/14/2000,NGS,6/14/2000,,TIE,,Y-L,KFHU,,Local
