,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
0,50260.*A,AIRPORT,GAM,2022-03-24,AAL,NONE,AK,ALASKA,NOME,AK,GAMBELL,GAMBELL,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,DARRIN OTTON,BOX 1048,"NOME, AK 99762",907-443-2500,063-45-59.8200N,229559.8190N,171-43-58.0200W,0618238.0220W,E,29.5,S,08E,2015.0,,BETHEL,0.0,SW,200.0,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,GAM,Y,1950-03-01,O,,NGSY,NO OBJECTION,N,N,N,Y,S,C,2019-08-06,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.7,Y,CG,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,,0.0,,0.0,,2018-12-31,3RD PARTY SURVEY,2019-06-25,3RD PARTY SURVEY,2019-06-25,,,CARGO,Y-L,PAGM,,Local,63.766616388888885,-171.73278388888886
1,50216.*A,AIRPORT,FBK,2022-03-24,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS/FT WAINWRIGHT,LADD AAF,MR,PR,U.S. ARMY,U.S. ARMY FORCES COMMAND,"ATLANTA, GA",,HQ 172 INFANTRY BRIGADE,FT RICHARDSON,ALASKA 99505,907-353-7022,064-50-15.4000N,233415.4040N,147-36-52.1700W,0531412.1710W,E,448.6,S,17E,2020.0,,FAIRBANKS,2.0,E,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,PAFB,Y,1949-05-01,O,,,NO OBJECTION,N,N,N,N,,F,1979-04-15,1994-08-23,,,,,,SEE RMK,SS-SR,Y,,125.0,Y,CG,,,13.0,,,,,90.0,,,,,3000.0,1000.0,60000.0,1979-04-15,FAA,2020-10-05,DOD (NGA),2015-07-31,,HGR,CARGO,Y,PAFB,,,64.83761222222222,-147.61449194444444
2,50034.*A,AIRPORT,ANC,2022-03-24,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519-6960",907-266-2600,JIM SZCZESNIAK,BOX 196960,"ANCHORAGE, AK 99519-6960",907-266-2600,061-10-26.7000N,220226.7050N,149-59-53.3000W,0539993.2950W,E,151.4,S,16E,2020.0,,ANCHORAGE,4.0,SW,4608.0,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ANC,Y,1951-11-01,O,I E S 04/2005,NGSY,NO OBJECTION,Y,Y,N,Y,F,F,2021-05-20,,100 100LL A A1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,11.0,67.0,16.0,15.0,0.0,0.0,0.0,98395.0,,76301.0,8998.0,76206.0,2061.0,2019-04-30,3RD PARTY SURVEY,2019-02-03,3RD PARTY SURVEY,2012-04-09,,"HGR,TIE",CARGO,Y-L,PANC,Medium,,61.17408472222222,-149.9981375
3,00103.*A,AIRPORT,0J0,2022-03-24,ASO,JAN,AL,ALABAMA,HENRY,AL,ABBEVILLE,ABBEVILLE MUNI,PU,PU,CITY OF ABBEVILLE,PO BOX 427,"ABBEVILLE, AL 36310",334-585-6444,MELISSA WILSON,"PO BOX 427, 101 E. WASHINGTON ST","ABBEVILLE, AL 36310",334-585-6444,031-36-00.8000N,113760.8000N,085-14-17.9100W,0306857.9100W,E,463.1,S,01W,1985.0,,NEW ORLEANS,3.0,N,36.0,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,1959-08-01,O,,N,NOT ANALYZED,,,,,S,S,2019-01-18,,,NONE,NONE,,,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,7.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,400.0,1200.0,2020-01-17,FAA-EST,2007-07-02,NACO,2002-02-20,,TIE,,Y-L,,,Basic,31.600222222222225,-85.23830833333332
4,00511.*A,AIRPORT,SEM,2022-03-24,ASO,JAN,AL,ALABAMA,DALLAS,AL,SELMA,CRAIG FLD,PU,PU,CRAIG FLD ARPT & IND AUTH,PO BOX 1421,"SELMA, AL 36702",334-874-7419,DUSTIN BECK,"CRAIG FIELD INDUSTRIAL, HANGAR 202, AVENUE J","SELMA, AL 36701",(334) 875-2189,032-20-38.2100N,116438.2080N,086-59-16.1000W,0313156.1000W,E,166.2,S,03W,2015.0,,ATLANTA,4.0,SE,1790.0,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,1979-02-01,O,,NGPXY,NO OBJECTION,N,N,N,Y,S,S,2019-10-09,,100LL A,MAJOR,MAJOR,,NONE,SEE RMK,SS-SR,N,122.7,122.7,N,CG,N,,10.0,3.0,0.0,0.0,0.0,0.0,0.0,,,250.0,2300.0,32000.0,4000.0,2019-08-08,3RD PARTY SURVEY,2010-04-22,3RD PARTY SURVEY,2010-04-22,,"HGR,TIE",INSTR,Y-L,KSEM,,Basic,32.34394666666667,-86.98780555555555
5,00385.1*A,AIRPORT,HSV,2022-03-24,ASO,JAN,AL,ALABAMA,MADISON,AL,HUNTSVILLE,HUNTSVILLE INTL-CARL T JONES FLD,PU,PU,HUNTSVILLE MADISON COUNTY,"1000 GLENN HEARN BLVD,","HUNTSVILLE, AL 35824",256-772-9395,RICHARD TUCKER,"1000 GLENN HEARN BLVD,, BOX 20008","HUNTSVILLE, AL 35824",256-258-1955,034-38-13.9100N,124693.9090N,086-46-30.2000W,0312390.1950W,E,628.9,S,04W,2020.0,,ATLANTA,9.0,SW,6000.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,HSV,Y,1964-05-01,O,I C S 05/1973,NGY,NO OBJECTION,Y,Y,N,Y,F,F,2021-07-21,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,127.6,Y,CG,N,,64.0,15.0,6.0,0.0,,,1.0,10558.0,,5768.0,2908.0,17217.0,18447.0,2021-05-31,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SURV",Y-L,KHSV,Small,,34.63719694444445,-86.77505416666666
6,00437.*A,AIRPORT,BFM,2022-03-24,ASO,JAN,AL,ALABAMA,MOBILE,AL,MOBILE,MOBILE DOWNTOWN,PU,PU,MOBILE AIRPORT AUTHORITY,1891-9TH ST/BROOKLEY COMPLEX,"MOBILE, AL 36615",251-438-7334,CHRIS CURRY,P O BOX 88004,"MOBILE, AL 36608",251-639-4680,030-37-36.4100N,110256.4100N,088-04-05.1300W,0317045.1270W,E,26.2,S,01W,2005.0,,NEW ORLEANS,3.0,S,1616.0,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,BFM,Y,1940-04-01,O,I A S 01/1980,NGPY,NOT ANALYZED,Y,Y,N,Y,F,F,2021-11-16,,100LL A,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.8,Y,CG,N,,16.0,2.0,6.0,1.0,0.0,0.0,0.0,1626.0,,1824.0,3072.0,6611.0,30032.0,2021-10-31,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,"HGR,TIE","CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KBFM,,Regional,30.626780555555555,-88.06809083333333
7,00780.2*A,AIRPORT,88AZ,2022-03-24,AWP,PHX,AZ,ARIZONA,GILA,AZ,ROOSEVELT,GRAPEVINE AIRSTRIP,PU,PR,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,033-38-27.2700N,121107.2700N,111-03-24.9000W,0399804.9000W,E,2329.0,E,11E,2015.0,,PHOENIX,5.0,SE,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,,,2016-11-01,O,,,CONDITIONAL,,,,,,N,,2020-04-01,,,,,,,,N,,122.9,Y,,,,,,,,,,,,,,,,,,OWNER,2016-11-15,OWNER,2016-11-15,N,,,Y,,,,33.640908333333336,-111.05691666666667
8,00753.*A,AIRPORT,IWA,2022-03-24,AWP,PHX,AZ,ARIZONA,MARICOPA,AZ,PHOENIX,PHOENIX-MESA GATEWAY,PU,PU,PHX MESA GATEWAY AIRPORT AUTHORITY,5835 S. SOSSAMAN RD,"MESA, AZ 85212-0919",(480) 988-7570,J. BRIAN O'NEILL,"PHX-MESA GATEWAY AIRPORT AUTHORITY, 5835 S. SOSSAMAN ROAD","MESA, AZ 85212-0919",(480) 988-7708,033-18-28.1700N,119908.1660N,111-39-19.6500W,0401959.6530W,E,1384.1,S,13E,1980.0,1218.0,PHOENIX,20.0,SE,3020.0,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,IWA,Y,1993-12-01,O,I C S 03/1999,N,NOT ANALYZED,N,N,N,Y,F,F,2021-12-01,,100LL A,MINOR,,HIGH/LOW,,SEE RMK,SS-SR,Y,,120.6,Y,CG,Y,,66.0,16.0,27.0,21.0,,,,14098.0,,44333.0,158632.0,51669.0,4940.0,2021-10-31,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,"HGR,TIE","AMB,CARGO,CHTR,INSTR,RNTL",Y,KIWA,Small,,33.30782388888888,-111.65545916666667
9,00682.*A,AIRPORT,FHU,2022-03-24,AWP,PHX,AZ,ARIZONA,COCHISE,AZ,FORT HUACHUCA SIERRA VISTA,SIERRA VISTA MUNI-LIBBY AAF,MR,PU,US ARMY INTELLIGENCE CTR,FORT HUACHUCA,"FORT HUACHUCA, AZ 85613",520-538-2860,SHARON FLISSAR,401 GIULIO CESARE AVE,"SIERRA VISTA, AZ 85635",520-458-5775,031-35-18.5000N,113718.5000N,110-20-39.8000W,0397239.8000W,E,4719.1,S,10E,2015.0,,PHOENIX,3.0,N,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,FHU,Y,1972-11-01,O,,NGSY,CONDITIONAL,N,N,Y,N,F,F,2014-02-25,,100 A,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,122.95,124.95,N,CG,N,,35.0,3.0,0.0,1.0,1.0,0.0,0.0,5013.0,,,6887.0,10905.0,96469.0,2013-10-31,NGS,2000-06-14,NGS,2000-06-14,,TIE,,Y-L,KFHU,,Local,31.588472222222222,-110.34438888888889
10,00841.*A,AIRPORT,NYL,2022-03-24,AWP,PHX,AZ,ARIZONA,YUMA,AZ,YUMA,YUMA MCAS/YUMA INTL,MN,PU,USMC & YUMA CO ARPT AUTH,"2356 E O'NEILL ST, BLDG 153","YUMA, AZ 85369-9114",928-269-3327,GREGORY MCSHANE / GLADYS BROWN,"2356 E O'NEILL ST, BLDG 153","YUMA, AZ 85369-9114",928-269-3327,032-39-23.6700N,117563.6660N,114-36-21.5500W,0412581.5540W,E,213.3,S,13E,2000.0,,PHOENIX,3.0,S,3100.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,NYL,Y,1940-04-01,O,I A S 05/1973,NGSY3,NOT ANALYZED,Y,Y,Y,N,F,F,2020-01-30,,100 A A+,MINOR,MINOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.3,N,CG,N,,48.0,12.0,2.0,0.0,,103.0,1.0,16299.0,,,68053.0,0.0,116202.0,2019-12-31,MILITARY,2014-05-14,MILITARY,2014-05-14,,TIE,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL",Y-L,KNYL,Non-Hub,,32.656573888888886,-114.60598722222221
11,01353.*A,AIRPORT,BUR,2022-03-24,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,BURBANK,BOB HOPE,PU,PU,BURBANK-GLENDALE-PASADENA APT,2627 HOLLYWOOD WAY,"BURBANK, CA 91505",818-840-8840,"MICHAEL CRANE, OPERATIONS MANAGER",2627 HOLLYWOOD WAY,"BURBANK, CA 91505",(818) 565-1348,034-12-02.5000N,123122.5000N,118-21-31.2000W,0426091.2000W,E,778.0,S,12E,2020.0,,LOS ANGELES,3.0,NW,555.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,BUR,Y,1942-12-01,O,I C S 05/1973,NGY,NOT ANALYZED,N,Y,N,Y,F,F,2018-11-15,,100LL A A+,NONE,NONE,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,N,,22.0,9.0,39.0,6.0,,,,49467.0,,22190.0,27157.0,28171.0,539.0,2020-07-31,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KBUR,Medium,,34.200694444444444,-118.35866666666666
12,02180.*A,AIRPORT,SDM,2022-03-24,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,BROWN FLD MUNI,PU,PU,CITY OF SAN DIEGO,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",619-424-0455,ANDY SCHWARTZ,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",619-424-0456,032-34-20.2000N,117260.2000N,116-58-48.6000W,0421128.6000W,E,526.1,S,14E,1980.0,,LOS ANGELES,13.0,SE,899.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SDM,Y,1948-03-01,O,,NGPY,NO OBJECTION,Y,Y,N,Y,S,S,2021-09-14,,100LL A A+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,128.25,Y,CG,N,,127.0,17.0,7.0,8.0,0.0,0.0,0.0,,,1670.0,64013.0,29339.0,5440.0,2020-12-31,3RD PARTY SURVEY,2017-05-06,3RD PARTY SURVEY,2017-05-06,,TIE,"AFRT,AVNCS,CARGO,CHTR,INSTR,PAJA,RNTL,SALES",Y-L,KSDM,,Regional,32.57227777777778,-116.98016666666666
13,01348.*A,AIRPORT,2CL1,2022-03-24,AWP,SFO,CA,CALIFORNIA,YUBA,CA,BROWNSVILLE,BROWNSVILLE,PR,PR,SECOND GOLDEN FEATHER NEST LP,8618 NOTTINGHAM PLACE,"LA JOLLA, CA 92037-2937",858-452-9677,STEVEN BURGER,P.O. BOX 779,"BROWNSVILLE, CA 95919",530-675-9918,039-27-18.8000N,142038.8000N,121-17-29.9000W,0436649.9000W,E,2120.0,E,16E,1985.0,800.0,SAN FRANCISCO,2.0,SW,26.0,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,,N,1965-08-01,O,,,NO OBJECTION,,,N,N,S,S,2011-05-19,2021-11-03,,,,NONE,NONE,,,N,,,Y,,N,,9.0,,,,,,,,,,1000.0,400.0,,2011-04-30,NGS,2002-08-03,,,,TIE,,Y,,,,39.45522222222222,-121.2916388888889
14,01437.*A,AIRPORT,CCR,2022-03-24,AWP,SFO,CA,CALIFORNIA,CONTRA COSTA,CA,CONCORD,BUCHANAN FLD,PU,PU,CONTRA COSTA COUNTY,550 SALLY RIDE DR.,"CONCORD, CA 94520",(925) 681-4200,KEITH FREITAS,550 SALLY RIDE DR.,"CONCORD, CA 94520",(925) 681-4200,037-59-22.7600N,136762.7640N,122-03-24.8500W,0439404.8480W,E,25.6,S,13E,2020.0,,SAN FRANCISCO,1.0,W,495.0,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,CCR,Y,1944-07-01,O,IV A U 05/1986,NGRY,NO OBJECTION,N,N,N,Y,F,F,2019-08-06,,100LL A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.7,Y,CG,N,,284.0,30.0,17.0,9.0,0.0,0.0,0.0,4.0,,4982.0,44764.0,40927.0,9.0,2019-06-30,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,TIE,"AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCCR,,National,37.98965666666667,-122.05690222222222
