,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
0,50059.95*A,AIRPORT,BLG,2022-03-24,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,BELUGA,BELUGA,PR,PR,"HILCORP ALASKA, LLC","3800 CENTERPOINT DR., STE 1400","ANCHORAGE, AK 99503",907-777-8300,"HILCORP ALASKA, LLC","3800 CENTERPOINT DR., STE 1400","ANCHORAGE, AK 99503",907-777-8300,061-10-22.6600N,220222.6628N,151-02-43.5000W,0543763.4987W,E,87.2,E,19E,2010.0,,ANCHORAGE,,,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,,N,1962-07-01,O,,,NO OBJECTION,N,N,N,N,2,N,1993-01-15,2020-05-15,,NONE,NONE,NONE,NONE,SEE RMK,,N,122.7,122.7,N,,N,,0.0,,,,,,,,,500.0,100.0,5000.0,,1993-01-15,FAA,2011-04-06,FAA,2011-04-06,,,CARGO,Y,PABG,,,61.172961888888885,-151.04541630555556
1,50217.*A,AIRPORT,EIL,2022-03-24,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS,EIELSON AFB,MA,PR,U S GOVT USAF,5010 CSGP,"EIELSON AFB, AK 99702",,CHIEF AIRFIELD MANAGEMENT,343 CSG/OTM,"EIELSON AFB, AK 99702",907-377-3201,064-39-56.3200N,232796.3200N,147-06-05.1800W,0529565.1800W,E,547.5,E,19E,2015.0,,FAIRBANKS,17.0,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,PAEI,Y,1949-04-01,O,,,NO OBJECTION,N,N,N,N,,F,1976-07-07,,,NONE,NONE,NONE,NONE,,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,18000.0,1976-07-07,MILITARY,2007-07-16,MILITARY,2007-07-16,,HGR,,Y,PAEI,,,64.66564444444445,-147.1014388888889
2,50738.*A,AIRPORT,TKA,2022-03-24,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,TALKEETNA,TALKEETNA,PU,PU,ALASKA DOT&PF CENTRAL REGION,P.O. BOX 196900,"ANCHORAGE, AK 99519-6900",(907) 269-0760,CHRIS DREWS,PO BOX 610,"TALKEETNA, AK 99676",907-733-2278,062-19-16.9400N,224356.9390N,150-05-33.7900W,0540333.7860W,E,365.0,S,16E,2020.0,,ANCHORAGE,1.0,E,624.0,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,TKA,TALKEETNA,907-733-2277,1-800-478-7150,ENA,KENAI,1-866-864-1737,TKA,Y,1949-03-01,O,,NGPY,NOT ANALYZED,N,N,N,Y,F,C,2020-09-13,,100LL A A+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.0,123.6,Y,CG,N,,63.0,1.0,0.0,2.0,0.0,0.0,0.0,,,9500.0,4000.0,16000.0,500.0,2019-12-31,3RD PARTY SURVEY,2014-05-31,3RD PARTY SURVEY,2014-05-31,,TIE,"CARGO,CHTR",Y-L,PATK,,Local,62.32137194444445,-150.09271833333332
3,50920.*A,AIRPORT,YAK,2022-03-24,AAL,NONE,AK,ALASKA,YAKUTAT,AK,YAKUTAT,YAKUTAT,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",907-465-1779,ROBERT LEKANOF,BOX 186,"YAKUTAT, AK 99689",907-784-3293,059-30-11.9600N,214211.9640N,139-39-36.9700W,0502776.9650W,E,39.7,S,20E,2015.0,,JUNEAU,3.0,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,YAK,Y,1949-03-01,O,I B S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,2018-09-07,,100 A1+,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,10.0,,,0.0,,,,726.0,,5000.0,3000.0,10000.0,300.0,2017-12-31,3RD PARTY SURVEY,2015-06-11,3RD PARTY SURVEY,2015-06-11,,HGR,CARGO,Y-L,PAYA,,Local,59.503323333333334,-139.66026805555555
4,00245.*A,AIRPORT,9A4,2022-03-24,ASO,JAN,AL,ALABAMA,LAWRENCE,AL,COURTLAND,COURTLAND,PU,PU,LAWRENCE COUNTY COMMISSION,P. O. BOX 307,"MOULTON, AL 35650",256-974-0663,LORETTA COTTINGHAM,52 AIR FORCE STREET,"COURTLAND, AL 35618",256-566-7846,034-39-29.3700N,124769.3700N,087-20-54.8100W,0314454.8090W,E,588.0,E,03W,2015.0,,ATLANTA,2.0,NE,350.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,1986-12-01,O,,NGY,CONDITIONAL,,,,,S,S,2021-10-05,1988-01-05,100LL,NONE,NONE,NONE,,SEE RMK,SS-SR,N,122.7,122.7,N,CG,,,11.0,2.0,0.0,2.0,1.0,0.0,1.0,,,,1000.0,9900.0,1000.0,2019-03-31,3RD PARTY SURVEY,2009-12-01,3RD PARTY SURVEY,2009-12-01,,TIE,,Y-L,,,Local,34.65815833333333,-87.34855805555556
5,00410.1*A,AIRPORT,7A3,2022-03-24,ASO,JAN,AL,ALABAMA,CHAMBERS,AL,LANETT,LANETT RGNL,PU,PU,CITY OF LANETT,PO BOX 290,"LANETT, AL 36863",(334) 644-5200,TONY CHANDLER,"PO BOX 290, PO BOX 290","LANETT, AL 36863",(334) 644-5200,032-48-42.6400N,118122.6350N,085-13-46.1500W,0306826.1470W,E,624.0,S,05W,2025.0,,ATLANTA,3.0,SW,150.0,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,1959-08-01,O,,N,NOT ANALYZED,N,N,N,N,S,S,2016-12-09,,100LL,NONE,NONE,NONE,NONE,,SS-SR,N,122.8,122.8,Y,CG,N,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,940.0,2340.0,10.0,2016-12-09,3RD PARTY SURVEY,2019-04-02,3RD PARTY SURVEY,2019-04-02,,TIE,,Y-L,,,Basic,32.81184305555555,-85.22948527777778
6,00901.*A,AIRPORT,BYH,2022-03-24,ASW,AOK,AR,ARKANSAS,MISSISSIPPI,AR,BLYTHEVILLE,ARKANSAS INTL,PU,PU,GOSNELL REG AIRPORT AUTHORITY,4701 MEMORIAL DRIVE,"BLYTHEVILLE, AR 72315-0166",870-532-2100,TODD RILEY,4701 MEMORIAL DRIVE,"BLYTHEVILLE, AR 72315",870-532-5628,035-57-51.6000N,129471.6000N,089-56-38.2000W,0323798.2000W,E,254.1,S,01W,2015.0,,MEMPHIS,3.0,NW,1100.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,BYH,Y,1943-10-01,O,,N1P,NO OBJECTION,,,N,Y,F,S,2021-10-26,1993-02-26,100LL A,MAJOR,,,,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,,,6.0,1.0,94.0,0.0,0.0,0.0,0.0,,,,10000.0,1000.0,5000.0,2021-09-30,NGS,2008-07-24,NGS,2008-07-24,,TIE,,Y-L,KBYH,,Local,35.964333333333336,-89.94394444444445
7,01056.*A,AIRPORT,LIT,2022-03-24,ASW,AOK,AR,ARKANSAS,PULASKI,AR,LITTLE ROCK,BILL AND HILLARY CLINTON NTL/ADAMS FLD,PU,PU,CITY OF LITTLE ROCK,1 AIRPORT DRIVE,"LITTLE ROCK, AR 72202",501-372-3439,BRYAN MALINOWSKI,1 AIRPORT DRIVE,"LITTLE ROCK, AR 72202",501-372-3439,034-43-45.9900N,125025.9862N,092-13-29.2000W,0332009.1968W,E,266.0,S,00E,2020.0,,MEMPHIS,2.0,E,2000.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,LIT,Y,1940-04-01,O,I C S 05/1973,NGPSY3,NO OBJECTION,Y,Y,N,Y,F,F,2020-09-03,,100LL A,MAJOR,MAJOR,HIGH,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,Y,,38.0,34.0,49.0,4.0,,,,15387.0,,8107.0,2101.0,25285.0,10398.0,2021-02-28,NGS,2009-12-10,NGS,2009-12-10,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KLIT,Small,,34.729440611111116,-92.22477688888888
8,00924.05*A,AIRPORT,CXW,2022-03-24,ASW,AOK,AR,ARKANSAS,FAULKNER,AR,CONWAY,CONWAY RGNL,PU,PU,CITY OF CONWAY,1111 MAIN STREET,"CONWAY, AR 72032",501-450-6110,JACK BELL,3250 SAND GAP ROAD,"CONWAY, AR 72034",501-358-6200,035-01-11.6000N,126071.6000N,092-33-18.4000W,0333198.4000W,E,276.1,S,01E,2015.0,,MEMPHIS,7.0,SW,432.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,JBR,JONESBORO,,1-800-WX-BRIEF,,,,JBR,,2014-08-01,O,,NG,NO OBJECTION,,,,,,S,2019-08-08,2014-07-07,100LL A,,,,,SEE RMK,SS-SR,N,123.05,123.05,Y,CG,Y,,50.0,9.0,10.0,0.0,0.0,0.0,0.0,,,100.0,8500.0,6000.0,500.0,2019-08-08,3RD PARTY SURVEY,2013-10-21,3RD PARTY SURVEY,2013-10-21,,"HGR,TIE","INSTR,RNTL",Y-L,KCXW,,Regional,35.01988888888889,-92.55511111111112
9,01064.7*A,AIRPORT,24AR,2022-03-24,ASW,AOK,AR,ARKANSAS,PHILLIPS,AR,LUNDELL,GRIFFIN AG,PR,PR,DAVID GRIFFIN,PO BOX 650,"HELENA, AR 72342",870-338-8499,JOHN MCKELLAR,PO BOX 650,"HELENA, AR 72342",870-338-8499,034-11-53.0000N,123113.0000N,090-57-10.0000W,0327430.0000W,E,160.0,E,,,,MEMPHIS,1.0,N,,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,JBR,JONESBORO,,1-800-WX-BRIEF,,,,,,2004-06-01,O,,,NO OBJECTION,,,,,2,N,,2011-03-02,,,,,,,,N,,,,,,,3.0,,,,,,,,,,,,,,FAA,2003-02-12,OWNER,2013-09-10,,,,,,,,34.198055555555555,-90.95277777777778
